Código municipio,Literal municipio,cod_postal,Renta ,
001,"Acebeda, La",28755,"11593,94",
002,Ajalvir,28864,"15468,34",
003,Alameda del Valle,28749,"13161,22",
004,"Álamo, El",28607,"12704,61",
005,Alcalá de Henares,28801,"14721,62",
005,Alcalá de Henares,28802,"14721,62",
005,Alcalá de Henares,28803,"14721,62",
005,Alcalá de Henares,28804,"14721,62",
005,Alcalá de Henares,28805,"14721,62",
005,Alcalá de Henares,28806,"14721,62",
005,Alcalá de Henares,28807,"14721,62",
006,Alcobendas,28100,"22745,04",
006,Alcobendas,28108,"22745,04",
006,Alcobendas,28109,"22745,04",
007,Alcorcón,28921,"15013,44",
007,Alcorcón,28922,"15013,44",
007,Alcorcón,28923,"15013,44",
007,Alcorcón,28924,"15013,44",
007,Alcorcón,28925,"15013,44",
008,Aldea del Fresno,28620,"12100,36",
009,Algete,28110,"19052,62",
009,Algete,28119,"19052,62",
009,Algete,28120,"19052,62",
010,Alpedrete,28430,"17940,25",
011,Ambite,28580,"11846,29",
012,Anchuelo,28818,"13113,16",
013,Aranjuez,28300,"14517,35",
013,Aranjuez,28310,"14517,35",
013,Aranjuez,28311,"14517,35",
013,Aranjuez,28312,"14517,35",
014,Arganda del Rey,28500,"12970,68",
014,Arganda del Rey,28529,"12970,68",
015,Arroyomolinos,28939,"16225,36",
016,"Atazar, El",28189,"11640,29",
017,Batres,28976,"15272,65",
018,Becerril de la Sierra,28490,"16716,32",
019,Belmonte de Tajo,28390,"10742,53",
020,Berzosa del Lozoya,28194,"12383,63",
021,"Berrueco, El",28192,"14016,09",
022,Boadilla del Monte,28660,"25479,59",
023,"Boalo, El",28412,"17262,2",
023,"Boalo, El",28413,"17262,2",
023,"Boalo, El",28492,"17262,2",
024,Braojos,28737,"11655,75",
025,Brea de Tajo,28596,"10490,19",
026,Brunete,28690,"16378,14",
027,Buitrago del Lozoya,28730,"13801,52",
028,Bustarviejo,28720,"14342,25",
029,Cabanillas de la Sierra,28721,"15373,92",
030,"Cabrera, La",28751,"13863,31",
031,Cadalso de los Vidrios,28640,"10824,92",
031,Cadalso de los Vidrios,28648,"10824,92",
032,Camarma de Esteruelas,28816,"14129,39",
033,Campo Real,28510,"13104,58",
034,Canencia,28743,"11003,45",
035,Carabaña,28560,"11619,71",
036,Casarrubuelos,28977,"13121,74",
037,Cenicientos,28650,"10222,4",
038,Cercedilla,28470,"14919,03",
038,Cercedilla,28479,"14919,03",
039,Cervera de Buitrago,28193,"10081,6",
040,Ciempozuelos,28350,"12835,07",
041,Cobeña,28863,"20231,93",
042,Colmenar del Arroyo,28213,"13777,48",
043,Colmenar de Oreja,28380,"11073,83",
044,Colmenarejo,28270,"16659,67",
045,Colmenar Viejo,28120,"13777,48",
045,Colmenar Viejo,28707,"13777,48",
045,Colmenar Viejo,28770,"13777,48",
045,Colmenar Viejo,28780,"13777,48",
046,Collado Mediano,28450,"18041,53",
046,Collado Mediano,28459,"18041,53",
047,Collado Villalba,28400,"15257,2",
048,Corpa,28811,"12072,88",
049,Coslada,28821,"14071,02",
049,Coslada,28822,"14071,02",
049,Coslada,28823,"14071,02",
050,Cubas de la Sagra,28978,"14397,18",
051,Chapinería,28694,"13408,41",
052,Chinchón,28370,"11793,09",
053,Daganzo de Arriba,28814,"16331,79",
054,"Escorial, El",28211,"17138,61",
054,"Escorial, El",28219,"17138,61",
054,"Escorial, El",28280,"17138,61",
054,"Escorial, El",28292,"17138,61",
055,Estremera,28595,"10727,08",
056,Fresnedillas de la Oliva,28214,"12452,26",
057,Fresno de Torote,28815,"13633,3",
058,Fuenlabrada,28940,"12368,15",
058,Fuenlabrada,28941,"12368,15",
058,Fuenlabrada,28942,"12368,15",
058,Fuenlabrada,28943,"12368,15",
058,Fuenlabrada,28944,"12368,15",
058,Fuenlabrada,28945,"12368,15",
058,Fuenlabrada,28946,"12368,15",
058,Fuenlabrada,28947,"12368,15",
059,Fuente el Saz de Jarama,28140,"14917,31",
060,Fuentidueña de Tajo,28597,"11121,9",
061,Galapagar,28250,"18101,62",
061,Galapagar,28260,"18101,62",
061,Galapagar,28292,"18101,62",
061,Galapagar,28400,"18101,62",
061,Galapagar,28420,"18101,62",
062,Garganta de los Montes,28743,"11818,83",
062,Garganta de los Montes,28749,"11818,83",
063,Gargantilla del Lozoya y Pinilla de Buitrago,28739,"14858,94",
064,Gascones,28737,"12637,67",
065,Getafe,28901,"14726,77",
065,Getafe,28902,"14726,77",
065,Getafe,28903,"14726,77",
065,Getafe,28904,"14726,77",
065,Getafe,28905,"14726,77",
065,Getafe,28906,"14726,77",
065,Getafe,28907,"14726,77",
065,Getafe,28909,"14726,77",
066,Griñón,28971,"15658,89",
067,Guadalix de la Sierra,28794,"14788,56",
068,Guadarrama,28430,"15789,35",
068,Guadarrama,28440,"15789,35",
068,Guadarrama,28480,"15789,35",
069,"Hiruela, La",28191,"10826,73",
070,Horcajo de la Sierra-Aoslos,28755,"12079,76",
071,Horcajuelo de la Sierra,28191,"11375,91",
072,Hoyo de Manzanares,28240,"19785,61",
072,Hoyo de Manzanares,28248,"19785,61",
073,Humanes de Madrid,28970,"11971,61",
074,Leganés,28911,"13712,26",
074,Leganés,28912,"13712,26",
074,Leganés,28913,"13712,26",
074,Leganés,28914,"13712,26",
074,Leganés,28915,"13712,26",
074,Leganés,28916,"13712,26",
074,Leganés,28917,"13712,26",
074,Leganés,28918,"13712,26",
074,Leganés,28919,"13712,26",
075,Loeches,28890,"13734,57",
076,Lozoya,28742,"13995,49",
078,Madarcos,28755,"9807,04",
079,Madrid,28001,"28873,9356970429",salamanca
079,Madrid,28002,"30801,55970305",chamartin
079,Madrid,28003,"26989,3758218168",chamberi
079,Madrid,28004,18730,centro
079,Madrid,28005,18730,centro
079,Madrid,28006,"30801,55970305",chamartin
079,Madrid,28007,"28873,9356970429",salamanca
079,Madrid,28008,"26032,5868334391",aravaca
079,Madrid,28009,"28873,9356970429",salamanca
079,Madrid,28010,"26989,3758218168",chamberi
079,Madrid,28011,"26032,5868334391",aravaca
079,Madrid,28012,18730,centro
079,Madrid,28013,"26032,5868334391",aravaca
079,Madrid,28014,18730,centro
079,Madrid,28015,"26989,3758218168",chamberi
079,Madrid,28016,"30801,55970305",chamartin
079,Madrid,28017,"18675,0371636252",ciudad lineal
079,Madrid,28018,"11786,2674465852",puente de vallecas
079,Madrid,28019,"13553,3509940557",carabanchel
079,Madrid,28020,"18149,6878250532",tetuan
079,Madrid,28021,"12056,2700135375",villaverde
079,Madrid,28022,"16469,6234412843",san blas
079,Madrid,28023,"26032,5868334391",aravaca
079,Madrid,28024,"15182,3734818852",latina
079,Madrid,28025,"13553,3509940557",carabanchel
079,Madrid,28026,"11751,9639359514",usera
079,Madrid,28027,"18675,0371636252",ciudad lineal
079,Madrid,28028,"28873,9356970429",salamanca
079,Madrid,28029,"18149,6878250532",tetuan
079,Madrid,28030,"17434,2318106434",moratalaz
079,Madrid,28031,"14233,6461079577",vicalvaro
079,Madrid,28032,"18675,0371636252",ciudad lineal
079,Madrid,28033,"22114,4451041929",hortaleza
079,Madrid,28034,"22047,4719991637",el pardo
079,Madrid,28035,"26032,5868334391",aravaca
079,Madrid,28036,"30801,55970305",chamartin
079,Madrid,28037,"16469,6234412843",san blas
079,Madrid,28038,"11786,2674465852",puente de vallecas
079,Madrid,28039,"18149,6878250532",teutan
079,Madrid,28040,"26032,5868334391",aravaca
079,Madrid,28041,"12056,2700135375",villaverde
079,Madrid,28042,"22114,4451041929",hortaleza
079,Madrid,28043,"18675,0371636252",ciudad lineal
079,Madrid,28044,"15182,3734818852",latina
079,Madrid,28045,"20922,8744783309",arganzuela
079,Madrid,28046,"26989,3758218168",chamberi
079,Madrid,28047,"15182,3734818852",latina
079,Madrid,28048,"22047,4719991637",el pardo
079,Madrid,28049,"22047,4719991637",el pardo
079,Madrid,28050,"22114,4451041929",hortaleza
079,Madrid,28051,"14686,1231264801",villa de vallecas
079,Madrid,28052,"14233,6461079577",vicalvaro
079,Madrid,28053,"11786,2674465852",puente de vallecas
079,Madrid,28054,"15182,3734818852",latina
079,Madrid,28055,"22114,4451041929",hortaleza
080,Majadahonda,28220,"25234,11",
080,Majadahonda,28221,"25234,11",
080,Majadahonda,28222,"25234,11",
082,Manzanares El Real,28410,"16772,96",
082,Manzanares El Real,28411,"16772,96",
082,Manzanares El Real,28492,"16772,96",
083,Meco,28880,"14637,51",
084,Mejorada del Campo,28840,"12587,88",
085,Miraflores de la Sierra,28792,"15171,37",
085,Miraflores de la Sierra,28793,"15171,37",
086,"Molar, El",28710,"13482,23",
087,"Molinos, Los",28460,"17078,52",
088,Montejo de la Sierra,28190,"11408,56",
089,Moraleja de Enmedio,28950,"13516,56",
090,Moralzarzal,28411,"17548,87",
091,Morata de Tajuña,28530,"12119,25",
092,Móstoles,28931,"13392,97",
092,Móstoles,28932,"13392,97",
092,Móstoles,28933,"13392,97",
092,Móstoles,28934,"13392,97",
092,Móstoles,28935,"13392,97",
092,Móstoles,28936,"13392,97",
092,Móstoles,28937,"13392,97",
092,Móstoles,28938,"13392,97",
093,Navacerrada,28491,"18728,18",
094,Navalafuente,28729,"14728,49",
095,Navalagamella,28212,"13441,03",
096,Navalcarnero,28600,"13959,45",
097,Navarredonda y San Mamés,28739,"11583,72",
099,Navas del Rey,28695,"11743,31",
100,Nuevo Baztán,28513,"15890,62",
100,Nuevo Baztán,28514,"15890,62",
101,Olmeda de las Fuentes,28515,"17035,6",
102,Orusco de Tajuña,28570,"11369,1",
104,Paracuellos de Jarama,28860,"19478,34",
104,Paracuellos de Jarama,28861,"19478,34",
104,Paracuellos de Jarama,28862,"19478,34",
106,Parla,28981,"12011,09",
106,Parla,28982,"12011,09",
106,Parla,28983,"12011,09",
106,Parla,28984,"12011,09",
107,Patones,28189,"13358,65",
108,Pedrezuela,28723,"16130,95",
109,Pelayos de la Presa,28696,"12610,2",
110,Perales de Tajuña,28540,"11702,11",
111,Pezuela de las Torres,28812,"12198,21",
112,Pinilla del Valle,28749,"12677,13",
113,Pinto,28320,"14460,69",
114,Piñuécar-Gandullas,28737,"12436,8",
115,Pozuelo de Alarcón,28223,"30198,55",
115,Pozuelo de Alarcón,28224,"30198,55",
116,Pozuelo del Rey,28813,"12970,68",
117,Prádena del Rincón,28191,"11077,31",
118,Puebla de la Sierra,28190,"10758,05",
119,Quijorna,28693,"15059,79",
