"pais","cod_pais","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Aruba","ABW",0,0,0,0,0,0,0,0,0,0
"Afghanistan","AFG",98.3257339940468,116.309674102584,117.616156377867,191.861716088667,183.795378755441,229.129757902027,231.443819867294,238.36336538297,224.310363950002,167.930905239143
"Angola","AGO",66.1773293631291,23.1497427949021,8.81915114915125,12.9103002845041,18.5986962870291,11.6437037377444,11.0820221382195,8.79306340594439,10.7385150213139,12.1774795355311
"Albania","ALB",99.4205697571045,104.626053507785,108.282342766881,103.915230114844,123.78728564381,121.973589240582,125.323504361967,130.639841915739,120.389746114727,93.2041543133245
"Andorra","AND",0,0,0,0,0,0,0,0,0,0
"Arab World","ARB",38.0233520106182,93.4527589451156,54.7123758693726,57.9555704896594,67.4303727787288,41.5034282494196,34.8706086506057,37.8062626757779,40.9737630011953,59.7378879683647
"United Arab Emirates","ARE",0,0,0,0,0,0,0,0,0,0
"Argentina","ARG",2.37756016985612,2.40436376184424,2.79154422220116,2.14686535516486,2.97163132158846,2.78612221421787,3.11792906244409,2.28492599893373,4.22280684383578,0.816440636655378
"Armenia","ARM",84.640291977943,57.2553075258788,71.7449863614909,117.766472999551,102.328414277642,177.205280455061,115.6033279613,133.258804629675,90.8425803778549,93.6971959018673
"American Samoa","ASM",0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda","ATG",23.2506914021391,97.6200569248471,39.2969676638672,59.1253243598706,71.1189220855302,49.3626882966396,225.373425194594,174.92512932208,23.4649541366806,17.6696116019337
"Australia","AUS",0,0,0,0,0,0,0,0,0,0
"Austria","AUT",0,0,0,0,0,0,0,0,0,0
"Azerbaijan","AZE",21.1677601878047,25.1315264214684,24.5033619932701,26.3794529966322,26.9473035579798,26.0773067189524,17.8433925329886,31.3395214389231,30.8516204765515,-7.52166261132629
"Burundi","BDI",46.8334801039938,46.0764035450019,52.5695205808663,56.3739036743806,59.3121921332337,61.4459563837455,66.3674278629046,58.4025721360171,51.6821846888935,53.3950113888273
"Belgium","BEL",0,0,0,0,0,0,0,0,0,0
"Benin","BEN",49.4509766501624,42.6624976993196,47.409215633352,54.5842689583868,70.9553937833794,73.3222941025099,72.4799832761958,68.7783114510914,50.536369309932,63.9590352164144
"Burkina Faso","BFA",49.6912850813541,52.0186032872026,65.0959452284719,66.0901477719927,68.0106908615406,71.4565666454963,66.8248202125042,60.9666035899879,69.4143198407456,61.1792382756963
"Bangladesh","BGD",10.0595847373771,9.23829982511926,8.4430850154017,10.3204329694837,13.9687383157514,8.1856719707697,9.26414627584387,9.72278641279434,13.8589218946471,16.7576588855883
"Bulgaria","BGR",0,0,0,0,0,0,0,0,0,0
"Bahrain","BHR",72.0554363982678,0,0,0,0,0,0,0,0,0
"Bahamas, The","BHS",0,0,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina","BIH",179.329052304939,140.839265222283,139.85656912172,155.860638086792,121.104270096821,108.746520080089,133.284383997113,163.287938606219,148.369339928571,136.316333610825
"Belarus","BLR",0,6.00274319465765,7.78350770917084,8.93530174240999,11.6645859539032,10.3315901886709,14.357389846335,12.6462392955601,10.8690426694715,11.3184062914873
"Belize","BLZ",27.1655468424579,42.3610645335517,28.0652517102263,74.4295466198396,77.8991720150899,85.9122401847575,77.7652366693718,66.5870780970434,77.8421595036634,148.957125798607
"Bermuda","BMU",0,0,0,0,0,0,0,0,0,0
"Bolivia","BOL",87.9552707817131,70.5009805044269,91.5661326817004,50.3956899986676,65.4036972823512,72.9065123689913,72.3605839541169,71.7853656561792,64.628907283908,67.5292941847403
"Brazil","BRA",0.869563521397632,1.02133264119698,0.471635184091709,1.60158086550943,2.32258923893376,1.7981070973919,2.25900253822728,4.09475310654052,6.36625452496459,5.65839383716518
"Barbados","BRB",105.495970207733,-7.66386996237405,-8.326061663758,63.4066499127299,25.6747741737735,38.999375148133,57.9469606461444,0,0,0
"Brunei Darussalam","BRN",0,0,0,0,0,0,0,0,0,0
"Bhutan","BTN",123.392748744551,138.367812667489,143.525460325076,133.446617684392,122.419027611908,179.859570800899,182.409898840119,192.85868410343,217.355935302826,181.279211064393
"Botswana","BWA",25.3901675064687,25.8958810688609,35.1379537905048,54.4282598031217,367.448799867471,140.662770051195,75.528693529886,56.7065414943538,34.2597741396141,49.3312688662124
"Central African Republic","CAF",27.5985131006425,21.9375245339293,32.3688816780354,42.1193763885901,60.1228154812454,54.9055231558375,58.7157672273825,59.3215083174369,49.3603203809936,43.055373345408
"Canada","CAN",0,0,0,0,0,0,0,0,0,0
"Central Europe and the Baltics","CEB",1.12392566288414,1.16281078322116,1.8555953437484,1.54410430012717,2.29304289112662,1.60906371686456,1.25832425013894,0,0,0
"Switzerland","CHE",0,0,0,0,0,0,0,0,0,0
"Channel Islands","CHI",0,0,0,0,0,0,0,0,0,0
"Chile","CHL",3.41856301080888,10.586726825235,6.09592494420054,6.60158986061886,6.39435201616731,4.70530019773669,11.0801920746859,9.73298246848132,7.365814420238,4.58356653707395
"China","CHN",1.31981559709122,1.38011996440954,0.970427605986179,1.10596144580142,1.10391762383413,0.866832925198684,0.502270680007924,-0.448572682701822,-0.133657117261854,-0.483468151880829
"Cote d'Ivoire","CIV",9.02737568105542,5.03399879400213,13.368752539706,9.07000529949573,32.482684372733,122.006152022344,41.9219294220803,69.7091831693115,136.722223535907,58.8951596231516
