País Origen,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
TOTAL EXTRANJEROS,4618581,4729644,5023487,5546238,5736258,5751487,5747734,5648671,5268762,4519554,4144166,3730610,3034326,2664168,1977946,1370657,923879,748954,637085
EUROPA,2101472,2193758,2299165,2608128,2689150,2631278,2578971,2496891,2314425,1895727,1609856,1352253,1048351,937338,701947,534130,430370,371270,312493
UNION EUROPEA,1844592,1947110,2056903,2359371,2443617,2395358,2350172,2273226,2102654,1708517,918886,774953,589155,587686,489814,417311,375486,329529,277844
UE(15),886531,937153,984698,1183725,1227198,1214652,1208359,1172196,1090122,958311,840853,712905,589155,587686,489814,417311,375486,329529,277844
UE(25),991213,1050592,1106425,1320116,1370003,1356725,1349385,1309617,1216875,1059441,918886,774953,636037,629358,519997,436763,386195,337959,285271
UE(27),1842626,1945188,2055058,2359371,2443617,2395358,2350172,2273226,2102654,1708517,1427662,1185356,913851,819543,617017,480439,395636,342937,288982
UE(28),1844592,1947110,2056903,2360978,2445242,2397014,2351939,2274978,2104424,1710166,1429450,1187069,915286,820895,618098,481228,396187,343350,289335
Alemania,119820,130911,140511,181900,196878,195987,195824,191002,181174,164405,150490,133588,117250,130232,113808,99217,88651,75618,60495
Austria,7562,8317,8863,10501,11120,11001,10932,10526,9742,8651,7776,6769,5883,6466,5562,4774,4088,3388,2735
Bélgica,29205,29713,30284,35987,36548,35892,36123,35379,33906,31412,29526,26670,23725,25908,22944,19869,18271,15796,12999
Bulgaria,133951,142328,151579,168997,176411,172926,169552,164717,153973,122057,101617,93037,69854,52838,29741,12035,3031,1831,1453
Chipre,265,239,217,227,233,215,199,193,176,146,132,108,85,110,109,103,89,88,131
Croacia,1966,1922,1845,1607,1625,1656,1767,1752,1770,1649,1788,1713,1435,1352,1081,789,551,413,353
Dinamarca,9775,10378,10736,12834,13365,13196,13150,12925,12208,10906,9977,8855,7734,8446,7570,6760,6174,5565,5050
Eslovenia,1333,1327,1347,1437,1410,1300,1279,1217,1050,799,619,470,340,297,238,178,103,62,82
Estonia,2238,2134,2028,1998,1822,1662,1493,1354,1169,984,784,636,461,386,223,104,61,39,84
Finlandia,11108,11593,11649,13924,13716,13039,12457,11970,11041,9990,9313,8373,7462,8493,7274,6289,5421,4417,3524
Francia,97587,99598,103552,117829,121637,122503,123870,120507,112610,100408,90021,77791,66858,69930,59811,51582,46375,40885,35867
Grecia,4084,4071,4217,4722,4773,4687,4765,4632,4140,3567,3027,2336,1790,1593,1211,1005,867,761,663
Hungría,9258,9480,9528,10046,9642,8901,8443,7788,6591,4597,3344,2532,1887,1773,1343,912,607,481,465
